price,rating,specScore,brand,processor,storage,cores,ram,screen_size,Warranty,OS,graphics,storage_type,ram_type,width,height,aspect_ratio,resolution_area
69990,4.6,69,Asus,Intel Core i5,512,12,16,16,12,Windows 11 ,rtx 2050,SSD,DDR4,1920,1200,1.6,2304000
74990,4.05,71,Asus,Intel Core i5,1024,12,16,16,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920,1200,1.6,2304000
28660,4.2,62,Lenovo,AMD Ryzen 3,512,No ,8,15.6,12,Windows 11 ,amd radeon amd,SSD,DDR4,1920,1080,1.777777778,2073600
57990,4.75,61,HP,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,rtx 2050,SSD,DDR4,1920,1080,1.777777778,2073600
24990,4.05,54,Acer,Intel Core i3,512,No ,8,14,12,Windows 11 ,intel iris xe graphics,SSD,DDR4,1920,1080,1.777777778,2073600
39999,4.5,63,Lenovo,AMD Ryzen 7,512,No ,16,15.6,12,Windows 11 ,amd radeon graphics,SSD,DDR4,1920,1080,1.777777778,2073600
66990,4.2,59,HP,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920,1080,1.777777778,2073600
33890,4.05,60,Dell,Intel Core i3,512,No ,8,15.6,12,Windows 11 ,intel graphics,SSD,DDR4,1920,1080,1.777777778,2073600
74990,4.4,63,HP,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920,1080,1.777777778,2073600
35890,4.55,55,HP,Intel Core i3,512,No ,8,15.6,12,Windows 11 ,intel integrated,SSD,DDR4,1920,1080,1.777777778,2073600
53990,4.55,66,Acer,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,rtx 2050,SSD,DDR4,1920,1080,1.777777778,2073600
80390,4.05,68,Dell,Intel Core i5,1024,10,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920,1080,1.777777778,2073600
51990,4.7,62,Asus,Intel Core i5,512,12,16,15.6,12,Windows 11 ,intel iris xe,SSD,DDR4,1920,1080,1.777777778,2073600
63990,4.6,56,Lenovo,Intel Core i7,512,10,16,15.6,12,Windows 11 ,intel uhd graphics,SSD,LPDDR5,1920,1080,1.777777778,2073600
67990,4.6,43,Apple,Apple M Series,256,No ,8,13.3,12,Mac ,Apple M1 Integrated Graphics,SSD,DDR4,2560,1600,1.6,4096000
53700,4,68,MSI,Intel Core i5,512,No ,16,15.6,24,Windows 11 ,rtx 2050,SSD,DDR4,1920,1080,1.777777778,2073600
56990,4.7,60,Acer,Intel Core i5,512,12,16,14,12,Windows 11 ,intel integrated iris xe,SSD,LPDDR5,2880,1800,1.6,5184000
75990,4.7,70,Asus,AMD Ryzen 7,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920,1080,1.777777778,2073600
120999,4.3,77,Other,Intel Core i9,1024,24,16,16,12,Windows 11 ,rtx 4060,SSD,DDR5,2560,1600,1.6,4096000
